State,All_countries,Latinamerica,Caribean,Central_america,Southamerica,Argentina,Bolivia,Belize,Brazil,Chile,Colombia,Costa_Rica,Cuba,Dominican_Republic,Ecuador,El_Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Peru,Trinidad_Tobago,Uruguay,Venezuela
Georgia,1036000,510630.1615,96166.16299,346052.2294,68409.4861,2893.376624,485.0121557,778.675061,11632.36851,1626.677094,21721.65083,2313.786008,11589.66831,11854.55409,3265.02244,27032.99488,33173.94933,12389.09692,19082.72402,40265.3227,254885.9171,2958.421795,5771.598325,7746.821944,7244.471441,2171.322865,8078.176953
Hawaii,259600,12510.00396,1655.985587,7141.984097,3711.972115,447.9034995,48.00120304,0,1056.12425,178.0741222,617.9616173,149.9861285,163.9953066,310.9883023,198.0013608,242.0089066,893.0255556,158.9884109,74.99891533,385.0126476,5322.01915,254.036219,198.0891781,527.0559211,237.015424,20.0121923,371.0540609
Idaho,101000,59054.01868,463.9959615,54380.87891,4208.968382,356.9231012,33.00082709,15.01301532,556.0654195,297.1236758,659.9590088,215.980025,87.99748159,36.99860831,331.0022749,1040.038276,767.0219498,190.9860785,228.9966881,141.004632,52011.18715,49.00698713,43.01936696,1516.160866,7.000455561,0,317.0461922
Illinois,1797700,795215.2515,27102.7641,708354.4227,59755.55111,4592.010655,1650.041354,4295.724116,6529.768208,1671.695833,14153.12092,1352.874879,8488.757059,3512.867865,17357.11929,9996.367892,26126.74767,4585.665737,10647.84601,7190.236197,652288.3471,1532.218455,1542.694508,7908.839134,1298.084474,637.3883248,3258.474745
Indiana,341900,147335.0466,8122.929299,128651.7135,10559.92067,869.8125995,160.0040101,216.1874205,2226.261913,585.2436039,1637.898267,487.9548712,1871.946427,2037.923344,737.0050653,8005.294616,6657.190508,1301.9051,5561.919561,1321.043396,105727.3804,1403.20006,564.2540224,2157.228884,558.0363147,125.0762019,1750.255004
Iowa,161900,59984.01897,2404.979067,53670.88049,3907.970643,302.9347329,73.00182962,72.06247352,906.1066008,221.0920282,771.9520527,144.9865908,535.9846606,166.9937186,622.0042749,3569.131353,5015.143518,785.9427103,2002.971032,459.0150785,42190.15181,424.0604601,221.0995371,443.0470076,79.00514133,9.005486536,334.0486693
Kansas,206700,109083.0345,3101.973001,99429.7786,6550.950788,439.9052227,115.0028823,107.0928426,1464.172256,329.1370012,1508.906279,303.971887,972.9721544,690.9740092,829.0056976,4091.150565,5937.169903,459.9664717,2901.95803,466.0153085,85368.30717,418.0596045,261.1175529,709.0752334,226.0147081,25.01524038,617.0899071
Kentucky,167100,64228.02031,13038.88651,45169.89942,6018.954785,436.9058689,190.004762,25.02169219,960.1129545,243.1011893,1668.896342,299.9722569,9869.717537,616.9767926,285.0019588,2138.078687,6375.182438,939.9314856,2814.959289,868.0285145,32521.11702,306.0436339,616.2774429,932.0988964,202.0131462,14.00853461,958.1395965
Louisiana,193200,105400.0333,13609.88154,81556.8184,10232.92313,574.8761433,265.0066418,754.6542365,2365.278268,291.1211773,2103.869325,525.9513571,4640.867182,3867.854512,1044.007175,5861.215708,6968.199408,1423.896208,29599.57192,1183.038862,32296.11621,4224.60232,1025.461654,1076.114177,807.0525197,135.082298,1493.217555
Maine,47900,5161.001632,1667.985482,1968.995616,1523.988552,149.9676896,20.00050127,0,412.0484763,106.0441402,314.980436,31.99704074,327.9906132,311.9882647,113.0007766,513.0188804,278.0079557,226.9834545,62.99908888,611.0200718,964.0034687,88.01254832,31.01396222,234.0248302,98.00637786,10.00609615,103.0150088
